2Simulación,Caudal (m³/s)
455,1.823755
456,1.814013
457,1.817897
458,1.79864
459,1.814013
460,1.817897
461,1.815953
462,1.817897
463,1.815953
464,1.825716
465,1.814013
466,1.812077
467,1.806294
468,1.810145
469,1.821798
470,1.812077
471,1.815953
472,1.821798
473,1.812077
474,1.815953
475,1.810145
476,1.810145
477,1.825716
478,1.821798
479,1.812077
480,1.810145
481,1.815953
482,1.815953
483,1.814013
484,1.812077
485,1.804374
486,1.815953
487,1.812077
488,1.814013
489,1.812077
490,1.812077
491,1.810145
492,1.814013
493,1.821798
494,1.815953
495,1.810145
496,1.821798
497,1.815953
498,1.817897
499,1.808217
500,1.812077
501,1.814013
502,1.812077
503,1.814013
504,1.815953
505,1.806294
506,1.814013
507,1.815953
508,1.808217
509,1.821798
510,1.79864
511,1.806294
512,1.812077
513,1.814013
514,1.817897
515,1.821798
516,1.823755
517,1.812077
518,1.819846
519,1.817897
520,1.808217
521,1.806294
522,1.808217
523,1.814013
524,1.810145
525,1.810145
526,1.812077
527,1.812077
528,1.819846
529,1.810145
530,1.817897
531,1.821798
532,1.810145
533,1.815953
534,1.810145
535,1.812077
536,1.817897
537,1.812077
538,1.817897
539,1.817897
540,1.814013
541,1.812077
542,1.806294
543,1.817897
544,1.810145
545,1.810145
546,1.817897
547,1.814013
548,1.810145
549,1.812077
550,1.817897
551,1.814013
552,1.814013
553,1.806294
554,1.819846
555,1.815953
556,1.808217
557,1.812077
558,1.815953
559,1.821798
560,1.810145
561,1.819846
562,1.815953
563,1.817897
564,1.814013
565,1.815953
566,1.814013
567,1.802459
568,1.808217
569,1.821798
570,1.812077
571,1.814013
572,1.823755
573,1.815953
574,1.814013
575,1.810145
576,1.814013
577,1.806294
578,1.817897
579,1.815953
580,1.810145
581,1.819846
582,1.814013
583,1.810145
584,1.804374
585,1.817897
586,1.810145
587,1.812077
588,1.815953
589,1.808217
590,1.810145
591,1.814013
592,1.814013
593,1.815953
594,1.814013
595,1.808217
596,1.814013
597,1.814013
598,1.812077
599,1.812077
600,1.821798
601,1.814013
602,1.814013
603,1.821798
604,1.815953
605,1.819846
606,1.819846
607,1.806294
608,1.815953
609,1.810145
610,1.812077
611,1.814013
612,1.815953
613,1.823755
614,1.814013
615,1.823755
616,1.814013
617,1.812077
618,1.812077
619,1.814013
620,1.812077
621,1.814013
622,1.812077
623,1.821798
624,1.817897
625,1.810145
626,1.814013
627,1.817897
628,1.810145
629,1.817897
630,1.821798
631,1.806294
632,1.814013
633,1.808217
634,1.817897
635,1.817897
636,1.810145
637,1.812077
638,1.808217
639,1.812077
640,1.815953
641,1.812077
642,1.819846
643,1.815953
644,1.817897
645,1.812077
646,1.814013
647,1.814013
648,1.812077
649,1.808217
650,1.814013
651,1.815953
652,1.815953
653,1.815953
654,1.810145
655,1.817897
656,1.814013
657,1.819846
658,1.815953
659,1.817897
660,1.814013
661,1.808217
662,1.815953
663,1.819846
664,1.821798
665,1.817897
666,1.823755
667,1.808217
668,1.815953
669,1.814013
670,1.810145
671,1.812077
672,1.815953
673,1.817897
674,1.823755
675,1.808217
676,1.808217
677,1.814013
678,1.810145
679,1.814013
680,1.810145
681,1.808217
682,1.808217
683,1.821798
684,1.810145
685,1.812077
686,1.823755
687,1.814013
688,1.815953
689,1.817897
690,1.819846
691,1.815953
692,1.817897
693,1.814013
694,1.814013
695,1.817897
696,1.817897
697,1.804374
698,1.812077
699,1.825716
700,1.814013
701,1.815953
702,1.817897
703,1.814013
704,1.814013
705,1.812077
706,1.812077
707,1.802459
708,1.817897
709,1.821798
710,1.814013
711,1.812077
712,1.802459
713,1.817897
714,1.815953
715,1.812077
716,1.817897
717,1.810145
718,1.804374
719,1.806294
720,1.817897
721,1.814013
722,1.814013
723,1.810145
724,1.817897
725,1.821798
726,1.814013
727,1.812077
728,1.821798
729,1.821798
730,1.814013
731,1.804374
732,1.814013
733,1.814013
734,1.821798
735,1.812077
736,1.808217
737,1.810145
738,1.814013
739,1.810145
740,1.819846
741,1.814013
742,1.819846
743,1.823755
744,1.806294
745,1.815953
746,1.817897
747,1.814013
748,1.814013
749,1.812077
750,1.810145
751,1.821798
752,1.806294
753,1.815953
754,1.817897
755,1.814013
756,1.817897
757,1.808217
758,1.812077
759,1.815953
760,1.808217
761,1.815953
762,1.819846
763,1.815953
764,1.810145
765,1.817897
766,1.815953
767,1.819846
768,1.815953
769,1.821798
770,1.814013
771,1.814013
772,1.810145
773,1.812077
774,1.810145
775,1.814013
776,1.815953
777,1.821798
778,1.814013
779,1.810145
780,1.817897
781,1.810145
782,1.808217
783,1.810145
784,1.810145
785,1.810145
786,1.814013
787,1.808217
788,1.819846
789,1.812077
790,1.817897
791,1.808217
792,1.808217
793,1.814013
794,1.812077
795,1.817897
796,1.814013
797,1.814013
798,1.806294
799,1.815953
800,1.808217
801,1.812077
802,1.806294
803,1.817897
804,1.817897
805,1.812077
806,1.823755
807,1.808217
808,1.814013
809,1.812077
810,1.812077
811,1.812077
812,1.812077
813,1.810145
814,1.817897
815,1.817897
816,1.814013
817,1.821798
818,1.812077
819,1.808217
820,1.814013
821,1.817897
822,1.814013
823,1.819846
824,1.819846
825,1.804374
826,1.815953
827,1.804374
828,1.804374
829,1.812077
830,1.810145
831,1.814013
832,1.808217
833,1.815953
834,1.812077
835,1.815953
836,1.817897
837,1.815953
838,1.814013
839,1.815953
840,1.817897
841,1.814013
842,1.817897
843,1.804374
844,1.814013
845,1.814013
846,1.808217
847,1.812077
848,1.802459
849,1.812077
850,1.814013
851,1.815953
852,1.810145
853,1.812077
854,1.812077
855,1.814013
856,1.812077
857,1.810145
858,1.817897
859,1.812077
860,1.815953
861,1.821798
862,1.817897
863,1.814013
864,1.812077
865,1.817897
866,1.808217
867,1.815953
868,1.821798
869,1.825716
870,1.819846
871,1.821798
872,1.817897
873,1.804374
874,1.808217
875,1.810145
876,1.819846
877,1.819846
878,1.810145
879,1.815953
880,1.808217
881,1.806294
882,1.810145
883,1.814013
884,1.817897
885,1.825716
886,1.821798
887,1.810145
888,1.810145
889,1.806294
890,1.806294
891,1.814013
892,1.814013
893,1.819846
894,1.819846
895,1.821798
896,1.815953
897,1.815953
898,1.821798
899,1.817897
900,1.810145
901,1.812077
902,1.812077
903,1.808217
904,1.819846
905,1.814013
906,1.812077
907,1.815953
908,1.815953
909,1.812077
910,1.817897
911,1.812077
912,1.823755
913,1.812077
914,1.810145
915,1.808217
916,1.815953
917,1.810145
918,1.823755
919,1.808217
920,1.810145
921,1.814013
922,1.817897
923,1.812077
924,1.815953
925,1.806294
926,1.804374
927,1.812077
928,1.817897
929,1.814013
930,1.808217
931,1.823755
932,1.814013
933,1.814013
934,1.817897
935,1.808217
936,1.804374
937,1.814013
938,1.817897
939,1.815953
940,1.817897
941,1.823755
942,1.821798
