2Simulación,Caudal (m³/s)
1863,1.810145
1864,1.812077
1865,1.817897
1866,1.819846
1867,1.812077
1868,1.810145
1869,1.812077
1870,1.814013
1871,1.823755
1872,1.815953
1873,1.815953
1874,1.817897
1875,1.812077
1876,1.817897
1877,1.815953
1878,1.804374
1879,1.810145
1880,1.804374
1881,1.806294
1882,1.815953
1883,1.79864
1884,1.808217
1885,1.814013
1886,1.812077
1887,1.817897
1888,1.819846
1889,1.814013
1890,1.823755
1891,1.814013
1892,1.817897
1893,1.812077
1894,1.814013
1895,1.814013
1896,1.815953
1897,1.810145
1898,1.802459
1899,1.806294
1900,1.812077
1901,1.817897
1902,1.815953
1903,1.806294
1904,1.821798
1905,1.814013
1906,1.812077
1907,1.815953
1908,1.823755
1909,1.810145
1910,1.817897
1911,1.817897
1912,1.814013
1913,1.812077
1914,1.815953
1915,1.819846
1916,1.815953
1917,1.810145
1918,1.825716
1919,1.804374
1920,1.817897
1921,1.810145
1922,1.812077
1923,1.810145
1924,1.810145
1925,1.814013
1926,1.819846
1927,1.804374
1928,1.812077
1929,1.808217
1930,1.819846
1931,1.815953
1932,1.825716
1933,1.819846
1934,1.821798
1935,1.814013
1936,1.815953
1937,1.812077
1938,1.819846
1939,1.819846
1940,1.817897
1941,1.817897
1942,1.815953
1943,1.815953
1944,1.810145
1945,1.812077
1946,1.815953
1947,1.819846
1948,1.821798
1949,1.806294
1950,1.810145
1951,1.814013
1952,1.817897
1953,1.812077
1954,1.819846
1955,1.814013
1956,1.815953
1957,1.815953
1958,1.808217
1959,1.815953
1960,1.814013
1961,1.815953
1962,1.804374
1963,1.806294
1964,1.808217
1965,1.808217
1966,1.812077
1967,1.810145
1968,1.817897
1969,1.815953
1970,1.817897
1971,1.819846
1972,1.819846
1973,1.815953
1974,1.821798
1975,1.819846
1976,1.812077
1977,1.812077
1978,1.800547
1979,1.815953
1980,1.810145
1981,1.819846
1982,1.815953
1983,1.819846
1984,1.819846
1985,1.815953
1986,1.812077
1987,1.810145
1988,1.806294
1989,1.812077
1990,1.812077
1991,1.810145
1992,1.806294
1993,1.819846
1994,1.810145
1995,1.819846
1996,1.815953
1997,1.808217
1998,1.814013
1999,1.815953
2000,1.808217
